BearID,Capture Date,YearCaptured,Popn,Sex,AgeClass,Mating,Denning,den_method,Lat,Long,NoCubs,CubAge,Urea Nitrogen,Creatinine
6091,19/04/1983,1983,SB,F,A,no,no,older cubs,70.5,-146.5,1,C1,20,0.5
6250,22/04/1983,1983,SB,M,A,unknown,no,NA,70.8833,-149.1,NA,NA,18.5,1.25
6093,23/04/1983,1983,SB,F,S,unknown,no,NA,70.6333,-145.2833,NA,NA,11.33,0.53
6094,23/04/1983,1983,SB,F,S,unknown,no,NA,70.6333,-145.2833,NA,NA,17,0.57
6222,24/04/1983,1983,SB,F,A,unknown,unknown,NA,70.3667,-144.7167,NA,NA,22.67,0.47
1916,24/04/1983,1983,SB,F,A,unknown,unknown,NA,70.3667,-144.7167,NA,NA,56.33,0.6
6095,29/04/1983,1983,SB,M,S,unknown,no,NA,69.9333,-140.8333,NA,NA,18.67,0.67
6157,29/04/1983,1983,SB,F,A,yes,unknown,NA,69.9333,-140.85,NA,NA,7.5,1.05
6096,29/04/1983,1983,SB,M,A,yes,no,NA,69.9333,-140.85,NA,NA,11,1.8
6098,30/04/1983,1983,SB,F,A,unknown,unknown,NA,70.0833,-141.1,NA,NA,45,0.75
2599,30/04/1983,1983,SB,M,A,unknown,no,NA,69.8667,-141.0333,NA,NA,33,1.25
6064,02/05/1983,1983,SB,F,S,unknown,no,NA,70.1333,-141.75,NA,NA,10,0.4
6065,05/05/1983,1983,SB,F,S,unknown,no,NA,70.25,-142.1,NA,NA,12.67,0.5
6212,07/05/1983,1983,SB,F,A,no,no,older cubs,71.3167,-151.0167,2,C1,35.25,0.38
6311,22/03/1984,1984,SB,F,A,yes,unknown,NA,71.6667,-156.3333,NA,NA,5.33,0.87
6312,22/03/1984,1984,SB,M,A,yes,no,NA,71.6667,-156.3333,NA,NA,4,1.25
6289,24/03/1984,1984,SB,M,A,yes,no,NA,71.6333,-157.75,NA,NA,10.33,0.67
6317,24/03/1984,1984,SB,F,A,yes,unknown,NA,71.6333,-157.75,NA,NA,11,0.9
6319,24/03/1984,1984,SB,M,A,unknown,no,NA,71.4833,-157.0333,NA,NA,6.5,1.3
6328,27/03/1984,1984,SB,M,S,unknown,no,NA,71.8667,-155.0833,NA,NA,9.5,1
1504,28/03/1984,1984,SB,F,A,no,no,older cubs,71.5333,-155.5333,1,C1,4.67,0.63
1871,28/03/1984,1984,SB,F,A,no,yes,coy,71.5667,-155.4167,2,C0,7.5,1.3
6212,08/04/1984,1984,SB,F,A,unknown,no,older cubs,70.3833,-140.3667,2,C2,5.5,0.7
6204,08/04/1984,1984,SB,F,A,no,yes,visual,70.1833,-142.4833,2,C0,18.67,0.63
6343,09/04/1984,1984,SB,M,S,unknown,no,NA,70.9333,-146.8333,NA,NA,26,0.47
1544,09/04/1984,1984,SB,F,A,yes,unknown,NA,70.6167,-147.0667,NA,NA,21,1.1
6345,09/04/1984,1984,SB,M,A,yes,no,NA,70.6167,-147.0667,NA,NA,4.5,1.4
9418,12/04/1984,1984,SB,F,A,yes,unknown,NA,70.2333,-134.7667,NA,NA,14,1.15
6244,04/05/1984,1984,SB,F,A,no,yes,visual,72.15,-149.1167,1,C0,9.5,0.6
1796,05/05/1984,1984,SB,F,A,no,no,older cubs,70.3167,-141.5833,1,C1,40,0.85
9415,05/05/1984,1984,SB,F,A,no,yes,coy,70.2,-140.8167,2,C0,5,0.85
6063,05/05/1984,1984,SB,F,A,no,yes,coy,71.3,-143.6833,2,C0,5.5,1.4
6157,05/05/1984,1984,SB,F,A,unknown,unknown,NA,71.2667,-146.1,NA,NA,15.33,0.47
1620,06/05/1984,1984,SB,F,A,unknown,unknown,NA,70.6167,-147.4167,NA,NA,23,0.75
6358,06/05/1984,1984,SB,M,S,unknown,no,NA,70.9333,-148.6333,NA,NA,16,0.9
1576,06/05/1984,1984,SB,M,A,yes,no,NA,70.7167,-148.1333,NA,NA,8,1
6230,07/05/1984,1984,SB,M,A,yes,no,NA,70.4667,-146.3667,NA,NA,4,1
6366,08/05/1984,1984,SB,F,S,unknown,no,NA,70.4667,-145.0167,NA,NA,18.5,0.7
6367,08/05/1984,1984,SB,F,S,yes,no,NA,70.55,-144,NA,NA,12,1
6450,14/03/1985,1985,SB,M,S,unknown,no,NA,70.6,-141.6667,NA,NA,6,0.85
6458,15/03/1985,1985,SB,F,A,unknown,no,older cubs,69.55,-138.5167,1,C2,69,1.25
6451,15/03/1985,1985,SB,M,A,unknown,no,NA,69.85,-138.8833,NA,NA,38.5,1.3
3707,17/03/1985,1985,SB,F,A,unknown,yes,visual,70.1333,-139.9667,NA,NA,6.67,1.1
6456,18/03/1985,1985,SB,F,A,yes,unknown,NA,70.6,-140.5,NA,NA,31,1
6374,21/03/1985,1985,SB,M,S,unknown,no,NA,70.75,-146.7,NA,NA,7.5,1.2
1600,26/03/1985,1985,SB,F,A,unknown,no,older cubs,70.7,-145.6,1,C2,12,1.23
6376,27/03/1985,1985,SB,F,A,unknown,unknown,NA,70.4,-140.33,NA,NA,17.33,1
6377,28/03/1985,1985,SB,F,S,unknown,no,NA,70.3667,-140.2833,NA,NA,7,0.9
6213,28/03/1985,1985,SB,M,S,unknown,no,NA,70.4167,-141.0333,NA,NA,8,1.5
6381,02/04/1985,1985,SB,F,A,unknown,yes,lactating,71.3167,-147.1667,NA,NA,7.5,0.7
6153,03/04/1985,1985,SB,F,A,unknown,no,older cubs,70.3,-143.8667,2,C2,11,1.2
6385,03/04/1985,1985,SB,F,S,unknown,no,NA,70.2,-143.15,NA,NA,3,0.45
6384,03/04/1985,1985,SB,F,A,unknown,unknown,NA,70.3167,-143.25,NA,NA,32.33,0.9
6386,06/04/1985,1985,SB,F,S,unknown,no,NA,70.1,-141.8167,NA,NA,7.5,0.75
6389,08/04/1985,1985,SB,F,S,unknown,no,NA,71.2333,-147.2333,NA,NA,17,1.35
6390,09/04/1985,1985,SB,F,S,unknown,no,NA,71.0667,-147.8667,NA,NA,6.5,0.75
6393,23/04/1985,1985,SB,M,S,unknown,no,NA,70.2667,-142.75,NA,NA,16,1.15
6392,23/04/1985,1985,SB,F,S,unknown,no,NA,70.3,-143.3333,NA,NA,10,1.25
6398,28/04/1985,1985,SB,F,A,no,yes,coy,70.3833,-147.6333,1,C0,12.33,0.57
6401,30/04/1985,1985,SB,M,A,unknown,no,NA,70.6667,-147.1833,NA,NA,26,1.4
6407,02/05/1985,1985,SB,F,A,unknown,unknown,NA,71.05,-149.2,NA,NA,11,0.85
6408,05/05/1985,1985,SB,F,S,unknown,no,NA,71.0167,-148.95,NA,NA,41.33,0.67
6204,06/05/1985,1985,SB,F,A,no,no,older cubs,70.5667,-145.55,1,C1,14.5,1.35
6409,06/05/1985,1985,SB,F,A,unknown,unknown,NA,70.7333,-147.1833,NA,NA,20,0.85
6063,15/05/1985,1985,SB,F,A,no,no,older cubs,71.0667,-147.7,1,C1,26.5,1.45
9974,03/04/1987,1987,SB,M,A,yes,no,NA,70.6,-140.05,NA,NA,1,1.15
6153,04/04/1987,1987,SB,F,A,unknown,unknown,NA,70.2667,-136.6833,NA,NA,28.5,0.85
697,06/04/1987,1987,SB,F,A,unknown,no,temp,69.4,-136.6,2,C2,7,0.8
6521,09/04/1987,1987,SB,F,A,no,no,older cubs,70.3,-143.6833,1,C1,19,1.05
6212,10/04/1987,1987,SB,F,A,unknown,no,temp,71.6,-151.9333,1,C2,5,0.87
6528,12/04/1987,1987,SB,F,A,no,no,older cubs,70.2,-143.0333,1,C1,11,0.67
6251,12/04/1987,1987,SB,F,A,no,no,older cubs,70.3833,-143.7167,2,C1,11.33,1.23
6529,12/04/1987,1987,SB,F,A,yes,unknown,NA,70.15,-142.5,NA,NA,6.33,0.73
6437,19/04/1987,1987,SB,M,S,yes,no,NA,71.0667,-146.1667,NA,NA,17.5,1.55
6387,20/04/1987,1987,SB,F,A,no,yes,coy,72.7,-156.45,2,C0,47.33,0.57
6538,21/04/1987,1987,SB,F,A,no,yes,coy,71.2,-157.7833,2,C0,9,0.8
6375,22/04/1987,1987,SB,F,A,no,no,older cubs,70.6333,-149.6167,1,C1,19,0.7
6544,23/04/1987,1987,CS,M,A,unknown,no,NA,70.75,-164.6167,NA,NA,10,2
6389,23/04/1987,1987,CS,F,A,yes,yes,temp,70.75,-164.6167,NA,NA,6.5,1.25
6358,24/04/1987,1987,SB,M,A,yes,no,NA,71.05,-157.55,NA,NA,11,1.2
6735,11/03/1988,1988,CS,F,A,unknown,no,older cubs,63.85,-172.1667,2,C2,5,1.05
6736,12/03/1988,1988,CS,F,A,unknown,no,older cubs,63.7667,-170.2833,1,C2,36,0.8
6740,14/03/1988,1988,CS,F,S,unknown,no,NA,63.3167,-168.7,NA,NA,22,0.75
6741,14/03/1988,1988,CS,F,A,yes,unknown,NA,63.6833,-168.5167,NA,NA,18.5,1
6743,15/03/1988,1988,CS,F,A,yes,unknown,NA,63.8667,-170.5,NA,NA,5,0.95
6747,18/03/1988,1988,CS,F,A,no,no,older cubs,66.5667,-166.25,1,C1,26,1.3
6744,18/03/1988,1988,CS,F,A,no,no,older cubs,66.75,-163.8667,2,C1,48,1.13
6750,19/03/1988,1988,CS,F,A,unknown,unknown,NA,66.7167,-165.7167,NA,NA,21,0.75
6749,19/03/1988,1988,CS,F,A,unknown,unknown,NA,66.5833,-165.5167,NA,NA,19.5,1
6529,22/03/1988,1988,SB,F,A,unknown,yes,visual,71.1,-148.1833,NA,NA,5,0.85
6551,23/03/1988,1988,SB,F,A,no,no,older cubs,71.1667,-147.8333,1,C1,45.67,1.23
6149,24/03/1988,1988,SB,F,A,unknown,unknown,NA,71.2667,-148.3833,NA,NA,17,0.8
6754,25/03/1988,1988,CS,F,A,unknown,no,older cubs,67.2833,-165.4167,1,C2,3,0.95
6757,28/03/1988,1988,CS,F,A,no,no,older cubs,69.3,-168.2333,1,C1,4.67,0.93
6521,30/03/1988,1988,CS,F,A,unknown,no,temp,69.2333,-163.9333,1,C2,30.5,1
6759,31/03/1988,1988,CS,F,A,unknown,unknown,NA,68.7333,-168.2,NA,NA,6,1.1
6761,01/04/1988,1988,CS,F,A,unknown,no,older cubs,69.75,-167.05,2,C2,7.5,1.5
6764,02/04/1988,1988,CS,F,A,unknown,unknown,NA,69.15,-166.1,NA,NA,6,0.9
6765,02/04/1988,1988,CS,F,S,unknown,no,NA,69.7833,-166.7833,NA,NA,4,1.15
6766,05/04/1988,1988,CS,F,A,no,no,older cubs,66.85,-166.3333,2,C1,28,0.8
6524,13/04/1988,1988,SB,F,A,no,yes,temp,70.05,-144.0833,1,C0,7.33,1
1734,15/04/1988,1988,SB,F,A,no,yes,coy,70.3,-143.5333,2,C0,4.5,0.9
6603,18/04/1988,1988,SB,F,A,unknown,unknown,NA,70.3667,-143.25,NA,NA,34.33,0.47
6602,18/04/1988,1988,SB,M,A,unknown,no,NA,70.4,-143.25,NA,NA,39.5,0.85
6418,20/04/1988,1988,SB,M,S,unknown,no,NA,70.95,-148.2833,NA,NA,13,0.65
6606,20/04/1988,1988,SB,F,A,unknown,unknown,NA,70.8333,-147.6333,NA,NA,8,1.05
6607,26/04/1988,1988,SB,M,S,unknown,no,NA,71.2,-147.667,NA,NA,6.5,1.1
6504,01/05/1988,1988,SB,F,A,no,no,older cubs,71.25,-151.9,1,C1,29,0.7
6611,01/05/1988,1988,SB,F,A,yes,unknown,NA,71.2,-153.8167,NA,NA,25,0.4
6614,04/05/1988,1988,SB,F,A,unknown,unknown,NA,70.6333,-147.1833,NA,NA,14,0.6
6615,04/05/1988,1988,SB,M,S,unknown,no,NA,70.7333,-146.3167,NA,NA,11,1.05
6248,06/05/1988,1988,SB,F,A,yes,unknown,NA,71.2167,-149.7667,NA,NA,9,0.67
1548,28/03/1989,1989,SB,F,A,no,no,older cubs,71.0167,-148.8667,1,C1,6,1
6686,29/03/1989,1989,SB,F,A,no,no,older cubs,71.3333,-151.3333,2,C1,7,1.1
1920,01/04/1989,1989,SB,F,A,no,yes,visual,70.6833,-147.7667,2,C0,4,1.35
6429,01/04/1989,1989,CS,F,A,yes,unknown,NA,69.8333,-163.3333,NA,NA,23,0.95
6775,01/04/1989,1989,CS,F,S,unknown,no,NA,70.5,-161.7833,NA,NA,25,0.95
6776,02/04/1989,1989,SB,M,A,unknown,no,NA,71.6,-156.8667,NA,NA,4.5,1.05
6427,02/04/1989,1989,SB,M,A,unknown,no,NA,71.3333,-157.3,NA,NA,2,1.5
6760,03/04/1989,1989,CS,F,A,yes,no,temp,70.7,-161.4,NA,NA,8,0.9
6779,05/04/1989,1989,CS,F,A,unknown,no,older cubs,70.45,-163.0333,2,C2,11,0.9
6778,05/04/1989,1989,CS,M,A,yes,no,NA,70.9,-163.0333,NA,NA,5,1.85
6754,05/04/1989,1989,CS,F,A,yes,yes,temp,70.9,-163.0333,NA,NA,8,1.05
6375,08/04/1989,1989,SB,F,A,no,yes,temp,69.9667,-138.2667,2,C0,4.5,1.05
6155,09/04/1989,1989,SB,F,A,no,yes,coy,69.65,-140.1,2,C0,22,1.15
6606,09/04/1989,1989,SB,F,A,no,yes,visual; temp,70.2167,-141.95,2,C0,5,1.05
6106,10/04/1989,1989,SB,F,A,no,yes,coy,70.6,-148.4333,2,C0,42,0.95
6783,10/04/1989,1989,SB,M,A,yes,no,NA,71.8,-157,NA,NA,11,1.35
6599,10/04/1989,1989,SB,F,S,unknown,no,temp,71.3,-149.0333,NA,NA,9,1.6
6280,11/04/1989,1989,SB,F,A,no,yes,coy,70.3333,-146.1833,1,C0,39.5,0.9
